Record;City;OtherName;Country;Latitude;Longitude;Certainty;year;pop;cityid
5360;Bangalore;;India;12.97194;77.59369;1;1800;50000;Bangalore_13_77.6
5361;Bangkok;;Thailand;13.75398;100.50144;1;1800;45000;Bangkok_13.8_100.5
5362;Barcelona;;Spain;41.38879;2.15899;1;1800;113000;Barcelona_41.4_2.2
5363;Bareilly;;India;28.34702;79.42193;1;1800;65000;Bareilly_28.3_79.4
5364;Bari;;Italy;41.117142;16.871872;1;1800;18000;Bari_41.1_16.9
5365;Basra;Basrah;Iraq;30.5;47.816667;2;1800;60000;Basra_30.5_47.8
5366;Bath;;United Kingdom;51.37795;-2.35907;1;1800;31000;Bath_51.4_-2.4
5367;Beijing;Peking;China;39.9075;116.39723;1;1800;1100000;Beijing_39.9_116.4
5368;Belfast;;Ireland;54.597283;-5.930117;1;1800;18000;Belfast_54.6_-5.9
5369;Belgrade;Beograd;Serbia;44.80401;20.46513;1;1800;26000;Belgrade_44.8_20.5
5370;Bellary;;India;15.14575;76.91751;1;1800;25000;Bellary_15.1_76.9
5371;Benin;Oedo;Nigeria;6.339081;5.626483;2;1800;15000;Benin_6.3_5.6
5372;Bergamo;;Italy;45.69798;9.66895;1;1800;16000;Bergamo_45.7_9.7
5373;Berlin;;Germany;52.52437;13.41053;1;1800;172132;Berlin_52.5_13.4
5374;Besancon;Besançon ;France;47.24878;6.01815;1;1800;25000;Besancon_47.2_6
5375;Bhagalpur;Boglipore;India;25.24446;86.97183;1;1800;23000;Bhagalpur_25.2_87
5376;Bharatpur;Bhurtpore;India;27.21731;77.49009;3;1800;75000;Bharatpur_27.2_77.5
5377;Bhuj;;India;23.25397;69.66928;1;1800;20000;Bhuj_23.3_69.7
5378;Bihar;Udantapura, Odantapuri;India;25.096074;85.313119;3;1800;30000;Bihar_25.1_85.3
5379;Bikaner;;India;28.02094;73.30749;1;1800;35000;Bikaner_28_73.3
5380;Birmingham;;United Kingdom;52.48142;-1.89983;1;1800;71000;Birmingham_52.5_-1.9
5381;Bitlis;;Turkey;38.40115;42.10784;1;1800;26000;Bitlis_38.4_42.1
5382;Bogota;Bacata, Funza, Bogotá;Columbia;4.598056;-74.075833;1;1800;21464;Bogota_4.6_-74.1
5383;Bologna;;Italy;44.49381;11.33875;1;1800;66948;Bologna_44.5_11.3
5384;Bonga;;Ethiopia;7.28333;36.23333;2;1800;30000;Bonga_7.3_36.2
5385;Bordeaux;;France;44.84044;-0.5805;1;1800;92000;Bordeaux_44.8_-0.6
